employee_id,first_name,last_name,cnp,gross_salary_month,base_salary,bonus_total,adjustment_total,working_days,vacation_days
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5922.00,5240.00,952.00,-270.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5922.00,5240.00,952.00,-270.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5922.00,5240.00,952.00,-270.00,21,5
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5922.00,5240.00,952.00,-270.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5922.00,5240.00,952.00,-270.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5922.00,5240.00,952.00,-270.00,21,0
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5922.00,5240.00,952.00,-270.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5922.00,5240.00,952.00,-270.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6157.00,5240.00,666.00,251.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6157.00,5240.00,666.00,251.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6157.00,5240.00,666.00,251.00,21,5
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6157.00,5240.00,666.00,251.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6157.00,5240.00,666.00,251.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6157.00,5240.00,666.00,251.00,21,0
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6157.00,5240.00,666.00,251.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6157.00,5240.00,666.00,251.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5379.00,5240.00,0.00,139.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5379.00,5240.00,0.00,139.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5379.00,5240.00,0.00,139.00,21,5
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5379.00,5240.00,0.00,139.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5379.00,5240.00,0.00,139.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5379.00,5240.00,0.00,139.00,21,0
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5379.00,5240.00,0.00,139.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5379.00,5240.00,0.00,139.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5240.00,5240.00,0.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5240.00,5240.00,0.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5240.00,5240.00,0.00,0.00,21,5
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5240.00,5240.00,0.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5240.00,5240.00,0.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5240.00,5240.00,0.00,0.00,21,0
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5240.00,5240.00,0.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5240.00,5240.00,0.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6113.00,5240.00,873.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6113.00,5240.00,873.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6113.00,5240.00,873.00,0.00,21,5
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6113.00,5240.00,873.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6113.00,5240.00,873.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6113.00,5240.00,873.00,0.00,21,0
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6113.00,5240.00,873.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,6113.00,5240.00,873.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5999.00,5240.00,759.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5999.00,5240.00,759.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5999.00,5240.00,759.00,0.00,21,5
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5999.00,5240.00,759.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5999.00,5240.00,759.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5999.00,5240.00,759.00,0.00,21,0
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5999.00,5240.00,759.00,0.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5999.00,5240.00,759.00,0.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5028.00,5240.00,267.00,-479.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5028.00,5240.00,267.00,-479.00,21,3
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5028.00,5240.00,267.00,-479.00,21,5
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5028.00,5240.00,267.00,-479.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5028.00,5240.00,267.00,-479.00,21,1
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5028.00,5240.00,267.00,-479.00,21,0
c6dba1a4-9358-46e6-be05-2973c860a8e5,Kevin,Lopez,0093176039266,5028.00,5240.00,267.00,-479.00,21,3
